# SunScope Pro - Sunlight Analysis Report
# Generated: 2026-01-10T14:57:04.964Z
# Location: New York (40.7128, -74.006)
# Date: 2026-01-10
# Building: Tower 6
# Floors: 4
# Height: 12m

# Summary Metrics
Metric,Value,Unit
First Sun Time,06:05 PM,
Last Sun Time,03:05 AM,
Total Sun Hours,9.25,hours
Direct Sun Hours,9.25,hours
Peak Irradiance,403,W/m²
Peak Time,10:35 PM,
Daily Irradiation,2173,Wh/m²
Comfort Score,76,/100
Risk Level,low,

# Hourly Data
Hour,Time,Sun Altitude (deg),Sun Azimuth (deg),In Shadow,Shadow Percent,Irradiance (W/m²)
17,2026-01-10T12:20:44.623Z,-0.71,-61.12,Yes,10000.0,0
18,2026-01-10T12:35:44.623Z,1.75,-58.66,No,0.0,2
18,2026-01-10T12:50:44.623Z,4.14,-56.14,No,0.0,16
18,2026-01-10T13:05:44.623Z,6.47,-53.54,No,0.0,42
18,2026-01-10T13:20:44.623Z,8.71,-50.86,No,0.0,74
19,2026-01-10T13:35:44.623Z,10.87,-48.10,No,0.0,109
19,2026-01-10T13:50:44.623Z,12.94,-45.24,No,0.0,144
19,2026-01-10T14:05:44.623Z,14.91,-42.29,No,0.0,179
19,2026-01-10T14:20:44.623Z,16.77,-39.23,No,0.0,212
20,2026-01-10T14:35:44.623Z,18.50,-36.07,No,0.0,244
20,2026-01-10T14:50:44.623Z,20.11,-32.81,No,0.0,273
20,2026-01-10T15:05:44.623Z,21.58,-29.44,No,0.0,300
20,2026-01-10T15:20:44.623Z,22.90,-25.96,No,0.0,324
21,2026-01-10T15:35:44.623Z,24.07,-22.39,No,0.0,345
21,2026-01-10T15:50:44.623Z,25.07,-18.73,No,0.0,363
21,2026-01-10T16:05:44.623Z,25.89,-14.99,No,0.0,377
21,2026-01-10T16:20:44.623Z,26.54,-11.18,No,0.0,389
22,2026-01-10T16:35:44.623Z,27.00,-7.32,No,0.0,397
22,2026-01-10T16:50:44.623Z,27.27,-3.42,No,0.0,402
22,2026-01-10T17:05:44.623Z,27.34,0.49,No,0.0,403
22,2026-01-10T17:20:44.623Z,27.22,4.40,No,0.0,401
23,2026-01-10T17:35:44.623Z,26.91,8.29,No,0.0,396
23,2026-01-10T17:50:44.623Z,26.40,12.14,No,0.0,387
23,2026-01-10T18:05:44.623Z,25.72,15.94,No,0.0,374
23,2026-01-10T18:20:44.623Z,24.85,19.66,No,0.0,359
0,2026-01-10T18:35:44.623Z,23.81,23.30,No,0.0,340
0,2026-01-10T18:50:44.623Z,22.61,26.85,No,0.0,318
0,2026-01-10T19:05:44.623Z,21.25,30.30,No,0.0,294
0,2026-01-10T19:20:44.623Z,19.75,33.65,No,0.0,266
1,2026-01-10T19:35:44.623Z,18.11,36.89,No,0.0,237
1,2026-01-10T19:50:44.623Z,16.34,40.03,No,0.0,205
1,2026-01-10T20:05:44.623Z,14.46,43.06,No,0.0,171
1,2026-01-10T20:20:44.623Z,12.46,45.99,No,0.0,136
2,2026-01-10T20:35:44.623Z,10.37,48.83,No,0.0,101
2,2026-01-10T20:50:44.623Z,8.19,51.57,No,0.0,66
2,2026-01-10T21:05:44.623Z,5.93,54.23,No,0.0,35
2,2026-01-10T21:20:44.623Z,3.58,56.81,No,0.0,11
3,2026-01-10T21:35:44.623Z,1.17,59.32,No,0.0,1

# Recommendations
1,"Best natural light: 06:05 PM to 03:05 AM (9.3 hours total)"
2,"Windows can remain open throughout the day (low heat risk)"
