# SunScope Pro - Sunlight Analysis Report
# Generated: 2026-01-28T13:58:26.545Z
# Location: Hyderabad (17.385, 78.4867)
# Date: 2026-01-28

# Summary Metrics
Metric,Value,Unit
First Sun Time,07:05 AM,
Last Sun Time,06:05 PM,
Total Sun Hours,11.00,hours
Direct Sun Hours,11.25,hours
Peak Irradiance,813,W/m²
Peak Time,12:35 PM,
Daily Irradiation,5424,Wh/m²
Comfort Score,48,/100
Risk Level,medium,

# Hourly Data
Hour,Time,Sun Altitude (deg),Sun Azimuth (deg),In Shadow,Shadow Percent,Irradiance (W/m²)
6,2026-01-28T01:20:10.486Z,-0.65,-70.95,No,0.0,0
7,2026-01-28T01:35:10.486Z,2.72,-69.81,No,0.0,6
7,2026-01-28T01:50:10.486Z,6.07,-68.60,No,0.0,37
7,2026-01-28T02:05:10.486Z,9.39,-67.29,No,0.0,85
7,2026-01-28T02:20:10.486Z,12.67,-65.90,No,0.0,139
8,2026-01-28T02:35:10.486Z,15.92,-64.40,No,0.0,197
8,2026-01-28T02:50:10.486Z,19.13,-62.78,No,0.0,255
8,2026-01-28T03:05:10.486Z,22.28,-61.02,No,0.0,312
8,2026-01-28T03:20:10.486Z,25.39,-59.11,No,0.0,368
9,2026-01-28T03:35:10.486Z,28.43,-57.04,No,0.0,422
9,2026-01-28T03:50:10.486Z,31.39,-54.76,No,0.0,474
9,2026-01-28T04:05:10.486Z,34.27,-52.27,No,0.0,523
9,2026-01-28T04:20:10.486Z,37.05,-49.53,No,0.0,568
10,2026-01-28T04:35:10.486Z,39.71,-46.52,No,0.0,611
10,2026-01-28T04:50:10.486Z,42.24,-43.20,No,0.0,649
10,2026-01-28T05:05:10.486Z,44.61,-39.54,No,0.0,684
10,2026-01-28T05:20:10.486Z,46.79,-35.51,No,0.0,716
11,2026-01-28T05:35:10.486Z,48.76,-31.10,No,0.0,743
11,2026-01-28T05:50:10.486Z,50.48,-26.29,No,0.0,765
11,2026-01-28T06:05:10.486Z,51.92,-21.09,No,0.0,784
11,2026-01-28T06:20:10.486Z,53.05,-15.54,No,0.0,798
12,2026-01-28T06:35:10.486Z,53.83,-9.71,No,0.0,808
12,2026-01-28T06:50:10.486Z,54.25,-3.69,No,0.0,813
12,2026-01-28T07:05:10.486Z,54.30,2.41,No,0.0,813
12,2026-01-28T07:20:10.486Z,53.96,8.46,No,0.0,809
13,2026-01-28T07:35:10.486Z,53.26,14.34,No,0.0,800
13,2026-01-28T07:50:10.486Z,52.20,19.96,No,0.0,787
13,2026-01-28T08:05:10.486Z,50.83,25.24,No,0.0,770
13,2026-01-28T08:20:10.486Z,49.17,30.14,No,0.0,748
14,2026-01-28T08:35:10.486Z,47.25,34.64,No,0.0,722
14,2026-01-28T08:50:10.486Z,45.11,38.76,No,0.0,692
14,2026-01-28T09:05:10.486Z,42.78,42.50,No,0.0,658
14,2026-01-28T09:20:10.486Z,40.29,45.90,No,0.0,620
15,2026-01-28T09:35:10.486Z,37.66,48.98,No,0.0,578
15,2026-01-28T09:50:10.486Z,34.90,51.78,No,0.0,533
15,2026-01-28T10:05:10.486Z,32.04,54.32,No,0.0,485
15,2026-01-28T10:20:10.486Z,29.09,56.65,No,0.0,434
16,2026-01-28T10:35:10.486Z,26.07,58.77,No,0.0,381
16,2026-01-28T10:50:10.486Z,22.98,60.71,No,0.0,325
16,2026-01-28T11:05:10.486Z,19.83,62.50,No,0.0,268
16,2026-01-28T11:20:10.486Z,16.64,64.16,No,0.0,210
17,2026-01-28T11:35:10.486Z,13.40,65.69,No,0.0,152
17,2026-01-28T11:50:10.486Z,10.12,67.11,No,0.0,96
17,2026-01-28T12:05:10.486Z,6.81,68.43,No,0.0,47
17,2026-01-28T12:20:10.486Z,3.47,69.67,No,0.0,11
18,2026-01-28T12:35:10.486Z,0.10,70.83,No,0.0,0

# Recommendations
1,"Best natural light: 07:05 AM to 06:05 PM (11.0 hours total)"
2,"Morning ventilation: Open windows 07:05 AM - 11:35 AM before heat builds"
3,"Evening ventilation: Re-open windows after 02:35 PM when heat subsides"
4,"Peak heat at 12:35 PM (813 W/m²). Close blinds 11:35 AM - 02:35 PM"
5,"Morning sun 07:05 AM: Ideal for plants needing gentle light"
